No,Nama,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Target
65,Dewi,85,77,62,86,94,81,73,68,66,64,AM
66,Rudi,89,72,62,80,98,68,68,74,68,76,LPI
67,Wati,68,95,88,69,91,87,85,72,94,76,AM
68,Krisna,83,82,74,65,88,94,89,85,95,86,RPE
69,Oscar,72,80,70,98,88,97,63,60,97,86,ME
70,Wati,70,76,79,67,70,73,82,65,90,100,MS
71,Lina,69,68,61,91,69,72,78,77,84,61,GM
72,Indra,72,88,82,89,76,74,73,97,78,63,IF
73,Zain,76,93,77,62,98,72,92,86,95,81,AN
74,Bayu,79,61,93,87,87,85,91,79,71,100,AK
75,Hadi,99,85,75,62,82,68,91,63,63,77,ME
76,Indra,90,74,79,65,85,63,73,82,93,98,TRPL
77,Dewi,66,84,72,64,92,70,61,92,63,86,MK
78,Eka,66,92,89,69,72,72,63,60,89,70,RKS
79,Eka,84,88,73,73,77,61,98,64,92,93,RPE
80,Indra,69,86,66,83,61,65,64,84,90,71,RPE
81,Fitri,95,69,75,63,95,61,89,96,93,90,AN
82,Citra,90,60,95,68,94,61,63,83,80,98,IF
83,Gita,76,86,89,94,90,77,82,91,82,70,AN
84,Eka,66,74,99,64,94,88,84,65,85,75,AK
85,Krisna,95,98,89,83,70,72,86,78,81,99,ABT
86,Wati,71,66,61,96,60,78,67,61,77,72,RKS
87,Fitri,98,78,88,73,94,72,93,72,67,95,KP
88,Sari,72,63,72,65,95,74,78,87,88,90,RE
89,Citra,76,72,82,84,91,69,88,94,91,81,RE
90,Krisna,99,91,93,95,95,73,98,98,61,82,KP
91,Dewi,92,65,86,73,88,83,77,72,98,71,TRM
92,Nina,96,82,83,68,91,97,68,83,65,70,WE
93,Joko,78,66,70,82,85,93,94,74,86,92,TRPL
94,Zain,92,82,86,93,64,79,84,74,78,80,LPI
95,Citra,99,79,81,87,93,64,83,82,63,75,TPPU
96,Dewi,72,88,90,96,85,90,71,74,76,81,GM
97,Joko,100,60,62,61,81,95,91,60,61,83,WE
98,Mira,61,98,67,82,87,93,94,81,80,75,RKS
99,Bayu,89,63,78,99,95,85,68,80,98,100,AK
100,Eka,97,92,81,72,62,75,63,86,96,75,GM
101,Bayu,72,74,60,87,97,83,86,77,66,96,GM
102,Bayu,66,98,62,83,68,91,89,68,75,94,TRM
103,Zain,73,67,91,73,85,69,60,94,70,92,AN
104,Nina,94,86,95,85,85,78,97,73,90,91,GM
105,Rudi,88,66,71,90,94,88,75,70,75,99,AK
106,Bayu,95,85,76,96,91,72,88,73,79,82,AM
107,Bayu,96,64,77,85,87,91,72,75,90,93,TRE
108,Tono,88,72,95,98,87,66,94,95,71,72,TRPL
109,Hadi,68,100,98,66,80,78,69,69,76,60,MK
110,Hadi,66,62,84,68,97,93,72,70,98,88,RPE
111,Sari,60,62,82,60,65,65,70,69,91,94,AK
112,Mira,94,74,99,89,70,67,84,72,60,90,MK
113,Gita,70,63,65,87,67,95,95,75,85,74,RE
114,Tono,74,100,76,81,76,64,72,68,65,67,TRM
115,Bayu,82,78,95,94,73,64,98,69,82,78,RPE
116,Tono,70,69,66,68,70,64,69,70,79,68,RE
117,Eka,90,74,89,67,71,79,99,81,88,92,RPE
118,Putri,73,94,64,84,95,63,95,86,83,62,RKS
119,Mira,83,62,76,74,97,60,91,63,78,80,KP
120,Tono,73,93,72,75,64,82,94,98,62,100,ABT
121,Citra,70,95,61,85,73,100,86,93,92,84,AM
122,Indra,66,67,74,83,80,90,62,97,66,64,LPI
123,Zain,72,75,69,98,94,80,69,99,91,89,EM
124,Krisna,85,76,75,74,89,63,60,90,77,86,EM
125,Joko,75,99,91,75,66,60,82,90,67,89,ME
126,Zain,63,73,65,65,71,79,70,99,63,89,RPE
127,Krisna,82,99,77,71,84,86,84,80,85,77,AM
128,Wati,65,91,62,75,93,88,65,68,91,81,ME
129,Oscar,93,86,95,70,87,64,87,98,81,81,AN
130,Bayu,76,96,78,96,61,91,65,66,78,88,KP
131,Dewi,73,74,82,63,61,69,88,81,69,83,AM
132,Hadi,71,76,68,92,68,93,88,82,86,93,TPPU
133,Lina,91,81,65,69,84,92,99,64,89,71,RKS
134,Rudi,80,63,68,100,60,62,97,61,86,61,TRM
135,Rudi,61,95,79,99,60,72,97,98,76,80,TRPL
136,Citra,94,76,95,70,68,88,63,98,70,87,MK
137,Eka,69,81,66,64,78,76,61,91,69,73,TPPU
138,Hadi,96,77,72,87,92,75,65,72,61,87,TRPL
139,Dewi,63,96,90,100,78,79,77,99,79,67,AK
140,Citra,78,67,72,92,60,86,74,60,64,98,RPE
141,Lina,69,72,80,74,75,67,80,90,88,94,ABT
142,Wati,87,71,74,93,93,66,92,66,84,80,LPI
143,Eka,100,99,100,65,99,95,65,73,71,91,TPPU
144,Bayu,65,74,64,86,97,83,98,68,64,68,TRM
145,Rudi,65,64,72,65,74,77,68,69,69,93,TRPL
146,Krisna,86,85,85,85,63,76,65,74,99,98,RPE
147,Joko,85,92,84,99,71,77,68,91,85,80,MK
148,Citra,80,85,87,61,90,65,84,83,60,88,EM
149,Hadi,92,81,69,60,96,74,76,72,63,75,GM
150,Joko,95,97,64,95,96,96,84,96,82,75,MS
151,Oscar,86,60,65,88,66,81,94,61,85,69,ABT
152,Lina,66,96,71,79,97,94,90,73,93,100,ABT
153,Sari,70,91,99,62,66,94,80,60,83,83,TRPL
154,Mira,67,82,99,72,86,98,60,98,78,80,AM
155,Joko,100,85,61,69,96,97,92,90,69,80,TRM
156,Putri,64,92,88,91,64,77,64,77,86,60,RE
157,Oscar,84,68,79,90,86,93,66,63,88,66,IF
158,Fitri,87,63,92,89,67,71,77,71,86,85,IF
159,Citra,96,75,63,80,68,88,75,99,73,90,AK
160,Joko,69,77,70,94,75,62,68,97,79,81,TRE
161,Indra,98,68,78,100,65,85,91,67,80,89,TRE
162,Putri,98,70,76,76,65,94,64,61,75,80,RKS
163,Putri,64,95,70,92,72,91,100,74,81,84,TRE
164,Tono,60,87,61,98,86,75,83,88,63,83,ABT
165,Citra,73,69,93,96,64,90,94,80,61,96,RE
166,Lina,77,90,74,75,65,98,91,71,94,85,MS
167,Tono,84,77,90,81,73,96,99,75,80,87,ABT
168,Bayu,63,96,69,69,78,88,96,73,93,83,GM
169,Bayu,61,87,75,74,80,82,64,71,92,88,GM
170,Joko,100,98,69,71,94,96,89,96,91,63,MS
171,Eka,98,95,88,73,97,61,78,71,70,85,MS
172,Gita,97,74,97,80,70,89,95,98,88,94,KP
173,Citra,89,97,90,69,76,82,86,73,100,85,MK
174,Sari,93,97,97,77,75,70,87,84,96,83,LPI
175,Indra,89,97,70,61,66,70,81,81,98,70,ABT
176,Nina,83,74,76,87,67,75,61,82,82,81,RKS
177,Sari,68,100,76,76,75,86,62,93,88,99,LPI
178,Lina,67,87,70,84,66,76,66,69,85,95,LPI
179,Rudi,69,67,70,67,78,75,66,95,80,86,AK
180,Sari,97,76,98,78,66,94,89,78,71,78,EM
181,Krisna,94,95,71,93,88,91,90,89,93,95,IF
182,Rudi,96,83,75,82,75,64,61,100,87,71,IF
183,Krisna,87,63,74,78,76,77,77,95,60,100,GM
184,Putri,78,73,85,78,94,95,88,69,88,97,WE
185,Gita,84,98,97,62,66,72,72,96,88,71,MS
186,Oscar,93,100,69,67,81,94,76,96,76,60,GM
187,Gita,100,70,85,60,90,77,86,84,89,87,KP
188,Krisna,78,95,78,97,91,98,75,75,84,100,RPE
189,Hadi,80,79,68,68,76,79,62,77,93,70,RE
190,Indra,78,85,65,93,91,94,83,62,90,60,TRM
191,Dewi,60,61,100,68,65,64,76,99,93,99,IF
192,Oscar,80,84,70,64,83,99,69,60,67,97,AN
193,Mira,71,69,80,78,87,73,64,85,88,66,LPI
194,Mira,100,79,74,66,97,61,97,76,92,86,IF
195,Krisna,78,95,93,78,60,79,69,83,97,62,TPPU
196,Eka,85,87,89,77,87,92,90,64,80,84,TPPU
197,Indra,100,92,68,83,83,73,79,86,83,82,AK
198,Hadi,81,71,64,100,67,78,71,69,79,70,WE
199,Hadi,87,99,97,78,68,66,70,94,64,63,AM
200,Tono,80,66,91,74,96,95,68,89,73,62,ME
201,Eka,86,79,70,89,72,95,65,94,75,76,AK
202,Mira,88,91,65,87,76,95,95,73,97,85,GM
203,Oscar,96,87,100,84,91,86,77,84,67,72,MS
204,Citra,95,80,61,67,64,74,62,88,80,87,TRE
205,Bayu,68,79,76,94,96,95,66,67,70,97,AM
206,Citra,66,62,99,66,95,87,73,85,79,78,EM
207,Wati,81,77,83,92,79,85,96,84,92,63,MK
208,Sari,60,84,81,83,92,73,84,93,100,77,ME
209,Wati,93,96,70,96,98,89,100,68,72,78,WE
210,Joko,75,76,94,90,95,71,93,78,91,71,IF
211,Tono,70,97,72,68,87,76,90,67,88,69,KP
212,Fitri,90,67,99,96,70,65,80,71,91,61,AK
213,Indra,65,82,60,84,79,85,75,64,73,86,WE
214,Eka,95,71,95,83,96,91,75,87,74,93,GM
215,Fitri,62,85,97,85,77,91,66,74,62,74,RE
216,Rudi,86,93,63,74,65,83,72,89,64,61,MS
217,Eka,98,100,89,80,84,85,95,91,67,69,TRE
218,Indra,62,67,69,90,77,64,88,84,72,80,KP
219,Nina,74,99,64,71,94,78,63,68,79,84,IF
220,Indra,84,89,74,94,65,94,86,73,100,91,RE
221,Eka,72,75,66,93,95,80,74,71,60,90,IF
222,Sari,66,94,90,60,62,80,80,100,69,81,ME
223,Oscar,72,92,96,100,75,80,94,74,73,88,TRE
224,Tono,81,79,79,80,89,69,66,81,96,88,TRM
225,Lina,99,89,90,90,88,94,73,88,72,81,MS
226,Sari,78,83,67,63,63,61,99,62,66,83,MK
227,Citra,71,97,78,65,87,82,99,65,77,71,RKS
228,Rudi,74,91,76,77,76,86,77,62,73,70,MK
229,Sari,86,94,70,95,60,96,97,75,84,76,WE
230,Eka,91,88,74,71,62,81,80,95,91,71,AK
231,Gita,94,63,68,77,74,99,74,76,63,68,IF
232,Indra,87,73,79,83,81,81,94,93,98,64,GM
233,Wati,82,90,78,99,83,91,88,70,62,78,TRM
234,Zain,70,64,74,99,80,70,100,85,64,99,AN
235,Oscar,83,61,71,75,78,64,97,68,72,98,KP
236,Gita,87,77,69,88,70,88,61,79,64,82,RKS
237,Oscar,87,100,78,65,88,88,69,94,92,89,RKS
238,Hadi,65,99,81,88,82,80,63,89,80,98,MK
239,Hadi,75,76,74,72,83,95,84,98,66,93,ME
240,Joko,77,99,79,96,72,89,76,73,96,81,IN
241,Zain,79,79,63,76,76,99,67,69,69,61,AM
242,Sari,89,79,97,67,88,67,74,87,80,63,TRPL
243,Bayu,64,68,95,60,60,85,87,81,83,99,KP
244,Indra,78,60,94,81,86,82,67,90,96,79,ABT
245,Dewi,87,67,71,70,66,77,91,85,71,99,RKS
246,Fitri,62,80,95,70,89,93,88,75,85,89,AM
247,Zain,94,85,61,67,86,66,80,62,70,70,GM
248,Wati,85,93,68,86,83,96,81,65,94,76,AM
249,Tono,76,72,76,98,79,100,72,84,73,90,LPI
250,Wati,88,94,65,83,77,83,86,95,63,61,TRPL
251,Lina,73,77,61,62,83,65,62,82,96,94,WE
252,Sari,99,82,71,81,77,61,69,76,96,78,MS
253,Nina,90,99,76,60,87,68,85,89,83,78,RKS
254,Dewi,61,67,86,85,92,83,93,99,66,87,EM
255,Rudi,62,87,83,88,76,81,72,60,89,68,AN
256,Mira,98,97,72,87,95,78,95,64,77,67,TPPU
257,Eka,83,75,93,79,99,67,96,82,81,97,MS
258,Sari,78,100,85,77,76,64,92,73,63,88,IN
259,Bayu,75,62,61,76,95,89,97,65,65,62,MK
260,Rudi,79,94,88,85,72,81,97,72,64,88,KP
261,Citra,72,98,99,78,80,75,80,61,64,82,RKS
262,Wati,98,74,88,95,74,85,65,94,82,82,LPI
263,Indra,82,94,78,85,78,68,78,65,68,75,MS
264,Putri,86,62,96,92,62,62,73,76,74,62,EM
265,Bayu,69,62,97,68,62,91,80,77,78,92,MK
266,Mira,100,84,99,61,89,90,79,90,69,89,ABT
267,Nina,99,95,74,90,63,76,65,88,90,92,AK
268,Nina,85,67,93,64,84,66,83,81,95,96,WE
269,Gita,93,78,91,76,72,75,65,96,60,78,MK
270,Tono,76,91,96,73,84,67,63,89,72,97,ABT
271,Wati,99,76,93,63,60,100,100,63,77,81,RPE
272,Zain,84,71,61,98,94,78,99,76,85,77,TRPL
273,Dewi,62,72,61,79,68,85,94,87,84,75,TRM
274,Hadi,64,75,80,75,97,75,77,80,92,67,WE
275,Oscar,70,74,72,81,73,71,63,64,61,64,TRM
276,Wati,97,83,85,86,70,70,60,64,74,84,AK
277,Fitri,86,89,61,70,92,67,81,64,73,98,TRE
278,Putri,64,83,100,65,94,96,92,79,64,63,IN
279,Zain,94,92,76,90,62,98,87,98,64,95,MK
280,Rudi,91,87,86,62,86,61,84,95,67,93,GM
281,Krisna,95,77,61,71,89,72,67,62,63,71,ABT
282,Mira,71,79,63,60,78,81,98,82,80,88,TRPL
283,Lina,100,94,87,71,61,90,89,65,79,91,IF
284,Rudi,84,87,90,66,73,66,83,93,99,78,IN
285,Gita,70,68,78,98,88,75,68,85,99,79,LPI
286,Mira,63,68,84,70,62,87,83,63,73,65,TPPU
287,Joko,92,81,89,83,94,72,61,62,82,75,TRPL
288,Joko,73,62,67,100,94,73,80,83,95,65,IF
289,Indra,77,71,95,78,72,78,73,93,63,71,AK
290,Eka,66,74,77,92,93,65,74,88,68,80,ABT
291,Eka,72,70,89,99,61,91,67,86,65,89,AM
292,Krisna,98,67,63,60,72,77,90,77,94,92,MK
293,Mira,77,60,86,88,64,98,77,100,64,87,ABT
294,Indra,67,69,89,66,88,74,65,60,80,81,TRPL
295,Indra,86,78,88,64,77,63,75,85,77,76,RKS
296,Hadi,82,99,62,77,100,91,61,74,82,65,IF
297,Indra,97,81,63,79,99,64,63,72,77,70,IN
298,Zain,63,78,90,82,78,69,61,83,61,69,AN
299,Wati,65,99,90,81,97,91,70,79,63,63,AK
300,Fitri,85,100,91,68,79,71,100,63,66,85,TRM
301,Krisna,69,96,93,70,87,72,69,90,96,99,KP
302,Fitri,93,87,62,74,96,62,68,60,67,69,AN
303,Dewi,93,60,64,91,92,73,95,89,81,80,IF
304,Nina,78,100,83,62,73,93,74,96,82,93,ABT
305,Nina,85,77,82,63,89,87,61,63,94,94,GM
306,Dewi,81,92,97,76,78,78,74,63,77,87,RE
307,Citra,96,68,96,79,100,69,63,98,88,65,KP
308,Dewi,64,95,70,69,97,60,63,76,83,79,TRE
309,Hadi,67,80,89,69,89,66,65,65,90,64,IN
310,Oscar,90,79,97,64,73,65,84,79,89,67,RPE
311,Lina,100,97,88,74,79,66,95,77,82,62,EM
312,Citra,99,86,92,97,74,87,70,87,74,99,AN
313,Lina,92,68,75,60,96,81,85,88,82,71,KP
314,Eka,73,65,96,97,63,94,93,91,85,100,LPI
315,Krisna,76,79,100,92,85,76,86,83,99,77,AK
316,Lina,72,82,66,66,64,70,66,96,86,99,GM
317,Dewi,96,66,78,78,88,72,98,70,91,69,AM
318,Zain,71,88,73,83,84,89,78,82,61,88,WE
319,Fitri,77,83,99,75,71,86,64,79,87,100,TRPL
320,Eka,69,66,70,77,61,97,89,99,75,81,TPPU
321,Sari,76,83,79,63,67,64,64,86,94,85,MS
322,Sari,90,77,84,71,86,100,68,99,99,64,AN
323,Nina,73,68,66,67,97,86,91,80,80,60,TRM
324,Wati,95,82,87,69,81,61,66,86,89,89,TPPU
325,Putri,85,88,97,93,92,81,70,79,85,89,KP
326,Gita,89,70,85,86,60,91,85,72,82,65,TRE
327,Bayu,76,67,73,84,72,92,92,96,87,62,AN
328,Fitri,97,67,88,67,92,70,60,81,80,60,TPPU
329,Lina,69,78,69,94,92,63,74,99,74,77,MS
330,Oscar,60,99,69,85,97,86,65,93,69,63,ABT
331,Eka,70,63,95,79,89,95,80,63,99,77,MK
332,Indra,90,98,76,84,65,68,99,71,81,95,MS
333,Joko,60,77,99,94,63,71,91,61,60,99,AK
334,Bayu,74,91,65,60,75,75,70,85,88,95,AM
335,Tono,68,72,67,64,72,95,78,71,67,72,TRE
336,Indra,85,91,71,79,97,96,71,96,96,98,KP
337,Zain,91,100,79,75,73,96,82,93,91,93,RPE
338,Gita,67,81,75,93,89,80,83,82,93,69,WE
339,Gita,74,95,76,93,98,79,85,90,90,75,TRM
340,Indra,94,69,77,75,72,79,98,64,82,87,GM
341,Krisna,69,71,93,76,88,86,79,80,94,96,MK
342,Putri,78,79,97,78,94,94,68,63,69,72,RE
343,Bayu,72,97,79,92,96,68,88,64,61,97,ME
344,Zain,65,100,87,84,100,74,73,71,64,88,ABT
345,Nina,74,88,75,71,79,97,62,73,84,97,GM
346,Indra,62,88,65,89,80,88,63,90,79,78,RKS
347,Eka,96,99,67,62,70,69,90,85,79,80,GM
348,Dewi,97,95,84,81,78,82,70,79,68,94,TRPL
349,Sari,87,76,65,64,68,63,79,97,83,80,MS
350,Bayu,71,72,87,84,75,80,73,90,66,71,WE
351,Wati,99,69,99,87,72,96,92,68,68,81,TPPU
352,Eka,71,73,68,64,65,67,90,66,78,66,RKS
353,Indra,66,95,90,62,65,72,73,77,64,82,AK
354,Gita,83,89,73,90,61,82,80,69,95,67,TRM
355,Wati,88,83,98,90,87,81,85,62,63,96,RPE
356,Tono,100,92,77,68,75,74,60,92,64,68,EM
357,Hadi,66,83,60,94,80,64,63,65,84,60,GM
358,Lina,91,94,75,84,71,72,82,62,89,60,MS
359,Gita,96,88,89,100,87,74,66,93,62,76,ABT
360,Fitri,92,86,74,73,98,61,77,93,61,91,RE
361,Citra,100,73,89,68,82,89,70,83,87,78,IF
362,Hadi,65,73,86,77,72,84,81,77,61,94,TPPU
363,Nina,100,71,95,81,89,99,69,89,67,85,EM
364,Rudi,89,61,62,74,84,79,91,100,100,80,TRE
365,Mira,80,80,86,72,65,97,72,98,67,89,AN
366,Sari,82,71,84,89,85,60,67,74,65,67,RE
367,Putri,80,94,97,80,72,63,77,60,94,74,TRE
368,Gita,66,75,86,83,80,89,80,75,87,80,IF
369,Oscar,76,61,71,66,89,73,74,100,67,66,IN
370,Rudi,93,99,92,62,66,73,64,62,66,65,RE
371,Oscar,71,98,94,74,70,82,87,89,71,62,EM
372,Fitri,100,85,91,87,64,92,63,76,73,94,AN
373,Fitri,79,69,83,73,72,68,73,86,71,70,KP
374,Rudi,93,78,74,97,79,77,69,60,87,76,ABT
375,Oscar,82,99,74,87,60,71,66,87,79,66,TRM
376,Oscar,100,91,93,97,71,86,90,95,96,92,ABT
377,Eka,99,84,70,80,82,87,71,62,92,98,IN
378,Sari,91,94,92,87,68,88,92,70,78,73,WE
379,Rudi,60,61,96,93,83,87,83,61,73,60,AM
380,Nina,100,99,70,88,91,64,71,84,65,84,MK
381,Mira,63,77,84,99,80,99,88,92,91,80,AM
382,Bayu,93,78,60,65,81,91,77,74,81,87,TPPU
383,Lina,84,92,62,67,87,61,85,92,69,96,ABT
384,Rudi,67,90,64,85,71,90,93,88,87,94,KP
385,Nina,80,83,65,79,99,60,69,89,68,71,AN
386,Gita,79,92,87,96,98,76,89,61,91,73,TPPU
387,Lina,78,86,68,68,97,94,95,91,97,77,MS
388,Mira,69,87,90,90,75,60,77,73,98,79,EM
389,Zain,91,62,86,91,72,99,84,83,74,69,AM
390,Hadi,73,80,62,82,95,99,66,79,60,97,GM
391,Indra,97,81,91,80,95,94,71,92,64,83,TRPL
392,Tono,83,68,75,67,84,78,72,69,99,89,TPPU
393,Tono,84,95,92,91,85,88,70,71,99,70,IF
394,Gita,69,82,81,66,71,60,61,62,64,67,ABT
395,Gita,93,74,77,62,66,66,66,69,96,68,WE
396,Eka,82,92,79,68,82,64,64,95,98,78,AK
397,Nina,92,98,71,83,69,83,84,82,65,65,AM
398,Lina,61,73,91,71,70,90,61,91,74,95,MK
399,Putri,85,91,100,78,89,100,83,71,96,62,WE
400,Dewi,64,79,80,95,80,96,84,64,60,94,AN
401,Mira,100,92,69,64,81,83,86,96,82,61,RPE
402,Lina,78,99,72,66,80,81,93,68,64,88,IF
403,Mira,77,88,83,64,86,78,95,60,70,63,MK
404,Wati,66,90,91,94,97,88,100,97,93,67,ME
405,Citra,74,92,62,81,84,78,70,62,84,74,MK
406,Mira,62,76,76,73,62,64,87,81,97,78,RPE
407,Krisna,73,77,91,84,84,65,74,98,97,88,ME
408,Lina,99,89,63,62,77,65,81,63,62,97,AK
409,Eka,69,93,75,61,94,89,79,85,73,80,EM
410,Citra,67,69,76,84,95,80,90,98,92,70,TPPU
411,Citra,78,78,93,84,80,72,71,98,93,83,RE
412,Zain,89,75,85,68,67,60,76,89,72,85,EM
413,Rudi,93,88,80,61,70,96,86,94,80,70,RPE
414,Dewi,82,73,66,67,71,88,100,100,74,100,TRM
415,Krisna,67,94,98,94,83,95,63,80,87,65,TRPL
416,Joko,84,82,69,81,95,93,81,79,60,73,MS
417,Rudi,63,65,60,100,94,90,83,96,71,78,AN
418,Joko,60,96,69,100,92,92,63,92,60,62,ME
419,Indra,95,73,97,89,91,75,92,96,82,100,IN
420,Sari,92,91,73,69,97,70,70,94,89,64,KP
421,Tono,67,89,90,88,64,98,86,83,98,98,GM
422,Mira,100,95,91,73,79,75,62,69,74,76,IN
423,Mira,80,83,80,89,80,78,70,92,90,98,TPPU
424,Gita,83,86,62,91,73,84,71,80,70,69,RKS
425,Oscar,100,60,95,80,63,67,64,68,63,86,RE
426,Krisna,90,75,89,88,75,65,89,82,84,62,TRE
427,Lina,99,69,70,93,88,97,88,85,69,75,ABT
428,Citra,60,92,73,92,65,71,89,83,83,95,TPPU
429,Bayu,73,71,65,98,90,95,87,82,70,70,AK
430,Bayu,61,86,81,79,74,67,89,96,73,85,ABT
431,Putri,99,66,73,64,89,68,67,82,100,90,RPE
432,Citra,71,82,66,90,62,72,61,68,70,99,RKS
433,Gita,99,97,87,74,62,88,88,73,87,64,MK
434,Sari,72,81,77,85,72,85,67,66,76,98,RPE
435,Zain,84,77,76,100,100,89,64,68,94,62,RKS
436,Tono,78,62,71,70,94,72,87,88,63,88,AK
437,Gita,61,61,89,97,70,98,95,77,90,89,WE
438,Eka,60,67,100,77,89,67,70,98,87,83,KP
439,Hadi,72,60,72,62,80,92,63,90,61,61,WE
440,Hadi,96,86,73,83,65,71,90,67,92,85,RKS
441,Tono,84,93,73,82,68,89,98,87,89,66,RE
442,Eka,75,74,100,85,92,79,92,74,86,67,AM
443,Krisna,94,70,71,86,73,79,79,89,83,92,MS
444,Mira,87,66,91,64,82,90,84,92,80,91,AM
445,Indra,60,77,90,93,82,70,88,63,83,65,IF
446,Citra,95,87,70,96,98,78,61,91,65,89,RPE
447,Citra,83,70,83,68,75,85,73,66,100,81,AN
448,Joko,62,93,100,64,98,91,69,89,83,75,RE
449,Nina,97,63,70,70,88,65,84,70,67,79,MS
450,Oscar,60,84,91,66,96,91,76,75,83,64,IN
451,Gita,65,96,75,67,63,61,81,68,65,65,ME
452,Joko,85,74,65,76,85,86,66,92,64,89,ABT
453,Bayu,70,81,90,72,67,98,79,65,68,90,WE
454,Hadi,80,61,61,95,76,70,98,85,61,92,KP
455,Mira,75,76,96,95,88,91,85,84,82,91,GM
456,Eka,88,86,78,90,97,94,65,93,81,72,LPI
457,Eka,67,77,88,84,75,97,99,91,83,66,IN
458,Joko,93,67,83,96,85,75,97,85,72,82,AN
459,Dewi,72,66,71,99,80,90,79,60,77,64,GM
460,Oscar,68,76,86,68,79,94,60,84,83,75,IN
461,Eka,86,63,62,88,78,84,89,98,93,95,TPPU
462,Tono,62,97,86,97,94,70,86,96,74,70,GM
463,Fitri,92,73,89,96,80,77,90,62,64,67,RE
464,Joko,73,90,79,62,72,72,61,64,95,66,RKS
465,Putri,63,100,63,62,74,63,84,65,92,95,RE
466,Citra,89,66,88,73,87,82,73,86,78,86,RKS
